canonical_name,legal_name,country,sector,industry,ticker,exchange,website,aliases
Tata Consultancy Services,Tata Consultancy Services Limited,India,IT Services,Information Technology,TCS,NSE,https://www.tcs.com,"TCS|TCS Ltd|Tata Consultancy Services Ltd|Tata Consultancy Services Limited"
Infosys,Infosys Limited,India,IT Services,Information Technology,INFY,NSE,https://www.infosys.com,"Infosys Ltd|Infosys Limited"
Wipro,Wipro Limited,India,IT Services,Information Technology,WIPRO,NSE,https://www.wipro.com,"Wipro Ltd|Wipro Limited"
HCLTech,HCL Technologies Limited,India,IT Services,Information Technology,HCLTECH,NSE,https://www.hcltech.com,"HCL|HCL Technologies|HCL Technologies Ltd|HCLTech"
Razorpay,Razorpay Software Private Limited,India,Fintech and Payments,Payments,,,https://razorpay.com,"Razorpay Software|Razorpay Pvt Ltd"
PhonePe,PhonePe Private Limited,India,Fintech and Payments,Payments,,,https://www.phonepe.com,"Phone Pe|PhonePe Pvt Ltd"
Groww,Nextbillion Technology Private Limited,India,Fintech and Payments,Investing,,,https://groww.in,"Groww App|Nextbillion Technology"
Paytm,One97 Communications Limited,India,Fintech and Payments,Payments,PAYTM,NSE,https://paytm.com,"One97 Communications|Paytm Payments"
Pine Labs,Pine Labs Private Limited,India,Fintech and Payments,Payments,,,https://www.pinelabs.com,"PineLabs|Pine Labs Pvt Ltd"
Swiggy,Bundl Technologies Private Limited,India,Quick Commerce and Grocery,Food Delivery,SWIGGY,NSE,https://www.swiggy.com,"Bundl Technologies|Swiggy Instamart|Instamart"
Zepto,Kiranakart Technologies Private Limited,India,Quick Commerce and Grocery,Quick Commerce,,,https://www.zeptonow.com,"Kiranakart|Zepto Now"
Blinkit,Blink Commerce Private Limited,India,Quick Commerce and Grocery,Quick Commerce,,,https://blinkit.com,"Grofers|Blink Commerce"
Zomato,Zomato Limited,India,FoodTech and Cloud Kitchens,Food Delivery,ZOMATO,NSE,https://www.zomato.com,"Zomato Ltd"
Delhivery,Delhivery Limited,India,Logistics and Aggregators,Logistics,DELHIVERY,NSE,https://www.delhivery.com,"Delhivery Ltd"
Nykaa,FSN E-Commerce Ventures Limited,India,E-Commerce Marketplaces,Beauty E-Commerce,NYKAA,NSE,https://www.nykaa.com,"FSN E-Commerce|Nykaa Fashion"
Freshworks,Freshworks Inc,United States,SaaS and Enterprise Software,SaaS,FRSH,NASDAQ,https://www.freshworks.com,"Freshworks Technologies|Freshworks Inc"
Ola Electric,Ola Electric Mobility Limited,India,Mobility and EV,Electric Vehicles,OLAELEC,NSE,https://www.olaelectric.com,"Ola Electric Mobility|Ola Electric Mobility Ltd"
